campaign_id,channel,spend_usd,impressions,clicks,installs,signups,first_purchase,repeat_purchase,revenue_usd,seo_category,avg_position,monthly_search_volume,conversion_rate,ctr,install_rate,signup_rate,first_purchase_rate,repeat_purchase_rate,cac,roas,cpc,cpi,ltv_estimate,retention_rate,funnel_efficiency,seo_opportunity_score
CAMP_001,Instagram Influencer,1613.32,18986,3827,933,433,55,325,7145.37,Home Decor,40.4,47732,2.88,0.20156957758348257,0.2437940945910635,0.4640943193997856,0.12702078521939955,5.909090909090909,3.7259122401847575,4.428984950288846,0.4215625816566501,1.7291747052518756,129.91581818181817,5.909090909090909,0.2553922545802287,3402.6772277227724
CAMP_002,Organic Search,559.41,17666,1563,247,181,382,268,1814.35,Astrology Services,14.8,40081,2.46,0.08847503679384128,0.1580294305822137,0.7327935222672065,2.110497237569061,0.7015706806282722,3.090662983425414,3.2433277917806262,0.35790786948176584,2.264817813765182,4.749607329842932,0.7015706806282722,0.8735499168418416,6662.112162162161
CAMP_003,Meta Ads,1125.62,43660,2181,1031,83,527,498,1761.08,Supplements,9.7,28569,4.11,0.04995419147961521,0.47271893626776706,0.08050436469447139,6.349397590361446,0.9449715370018975,13.56168674698795,1.564542207849896,0.5161027051811096,1.0917749757516972,3.341707779886148,0.9449715370018975,2.053115940644916,12105.009278350517
CAMP_004,Instagram Influencer,1266.35,8561,1863,801,1173,108,404,9710.6,Skin Care,37.8,24322,4.9,0.2176147646303002,0.42995169082125606,1.4644194756554307,0.09207161125319693,3.740740740740741,1.0795822676896845,7.668180202945474,0.6797369833601717,1.5809612983770287,89.91296296296296,3.740740740740741,0.5447372279211907,3152.8518518518526
CAMP_005,Instagram Influencer,283.61,31854,1729,193,657,754,146,7288.65,Astrology Services,40.5,20065,3.0,0.05427889746970553,0.11162521688837479,3.4041450777202074,1.147640791476408,0.19363395225464192,0.43167427701674277,25.69955220196749,0.16403123192596877,1.4694818652849742,9.666644562334216,0.19363395225464192,1.234090590589009,1486.2962962962963
CAMP_006,Organic Search,1293.58,43952,2238,658,616,46,464,890.14,Fitness Gear,49.5,18924,1.95,0.05091918456497998,0.2940125111706881,0.9361702127659575,0.07467532467532467,10.08695652173913,2.099967532467532,0.6881213376830192,0.5780071492403932,1.9659270516717324,19.35086956521739,10.08695652173913,0.34013211529975484,745.4909090909091
CAMP_007,Meta Ads,506.94,27662,3502,1274,133,289,375,4288.8,Astrology Services,21.2,23556,0.7,0.12659966741378065,0.36379211878926326,0.1043956043956044,2.172932330827068,1.2975778546712802,3.811578947368421,8.460172801514972,0.14475728155339807,0.39791208791208793,14.8401384083045,1.2975778546712802,0.7942465635270933,777.7924528301886
CAMP_008,Meta Ads,317.09,13392,2437,1197,283,358,475,4618.45,Astrology Services,19.2,27962,4.66,0.18197431302270012,0.491177677472302,0.23642439431913115,1.265017667844523,1.3268156424581006,1.120459363957597,14.56510769812987,0.1301148953631514,0.2649039264828738,12.900698324022345,1.3268156424581006,0.5978006809057552,6786.610416666667
CAMP_009,Instagram Influencer,1907.99,35535,1506,236,1165,506,147,7568.41,Supplements,39.0,29295,4.64,0.04238075137188687,0.15670650730411687,4.936440677966102,0.43433476394849785,0.29051383399209485,1.6377596566523605,3.9666926975508257,1.266925630810093,8.084703389830509,14.957332015810277,0.29051383399209485,1.4120633757764813,3485.353846153846
CAMP_010,Google Ads,1938.14,18067,4229,1399,539,311,96,2883.18,Fitness Gear,17.7,14807,1.64,0.2340731720816959,0.3308110664459683,0.38527519656897785,0.5769944341372912,0.3086816720257235,3.5958070500927644,1.487601514854448,0.45829746985102865,1.3853752680486062,9.270675241157555,0.3086816720257235,0.3989345304112631,1371.94802259887
CAMP_011,Instagram Influencer,1655.12,28599,2875,513,128,190,358,2251.17,Astrology Services,46.6,43348,3.63,0.10052799048917795,0.17843478260869566,0.24951267056530213,1.484375,1.8842105263157896,12.930625,1.3601249456232782,0.5756939130434783,3.22635477582846,11.848263157894737,1.8842105263157896,0.572404961391335,3376.6789699570813
CAMP_012,Instagram Influencer,748.3,40222,1482,1422,182,616,326,1268.29,Skin Care,43.1,27432,0.84,0.03684550743374273,0.9595141700404858,0.1279887482419128,3.3846153846153846,0.5292207792207793,4.111538461538461,1.6948950955499131,0.5049257759784075,0.5262306610407876,2.0589123376623375,0.5292207792207793,1.2946294464419634,534.6375870069605
CAMP_013,Instagram Influencer,375.81,16837,909,709,943,108,292,4568.99,Skin Care,22.0,18749,1.25,0.05398824018530617,0.7799779977997799,1.3300423131170662,0.11452810180275716,2.7037037037037037,0.39852598091198305,12.157712673957585,0.41343234323432343,0.5300564174894217,42.30546296296296,2.7037037037037037,0.5726611563070999,1065.284090909091
CAMP_014,Instagram Influencer,1431.62,19039,4944,813,907,709,219,7040.75,Home Decor,37.8,42459,1.48,0.2596775040705919,0.16444174757281554,1.115621156211562,0.7816979051819184,0.30888575458392104,1.5784123484013228,4.918029924141882,0.2895671521035598,1.760910209102091,9.930535966149506,0.30888575458392104,0.6064605983147884,1662.4158730158733
CAMP_015,Organic Search,992.27,35818,4613,1004,367,125,451,1052.84,Fitness Gear,38.0,27256,1.83,0.12878999385783685,0.21764578365488835,0.3655378486055777,0.3405994550408719,3.608,2.703732970027248,1.0610418535277697,0.215102969867765,0.988316733067729,8.42272,3.608,0.27373374334894546,1312.5915789473686
CAMP_016,Meta Ads,419.67,24115,3948,452,851,200,346,9194.53,Fitness Gear,6.1,41262,4.98,0.16371552975326562,0.11448834853090173,1.8827433628318584,0.23501762632197415,1.73,0.49314923619271445,21.908952272023257,0.10629939209726444,0.9284734513274336,45.97265,1.73,0.6025563216879354,33686.0262295082
CAMP_017,Organic Search,1091.32,15965,4979,1419,986,262,55,4702.35,Home Decor,45.2,38080,3.64,0.3118697150015659,0.2849969873468568,0.6948555320648344,0.2657200811359026,0.2099236641221374,1.106815415821501,4.308864494373786,0.21918457521590679,0.76907681465821,17.94790076335878,0.2099236641221374,0.38705309719400677,3066.619469026549
CAMP_018,Organic Search,261.9,29538,863,196,190,170,157,2777.98,Astrology Services,25.8,2324,2.23,0.029216602342744938,0.22711471610660486,0.9693877551020408,0.8947368421052632,0.9235294117647059,1.3784210526315788,10.607025582283315,0.3034762456546929,1.3362244897959183,16.341058823529412,0.9235294117647059,0.5733899909022893,200.87286821705425
CAMP_019,Organic Search,1836.78,47530,2198,1221,830,265,190,1391.8,Fitness Gear,41.5,26731,3.82,0.046244477172312226,0.5555050045495905,0.6797706797706797,0.3192771084337349,0.7169811320754716,2.212987951807229,0.7577390868803013,0.8356596906278435,1.5043243243243243,5.252075471698113,0.7169811320754716,0.4138509490446505,2460.5402409638555
CAMP_020,Instagram Influencer,665.8,10056,3645,913,427,332,67,2237.23,Skin Care,16.7,36909,4.62,0.36247016706443913,0.250480109739369,0.46768893756845564,0.7775175644028103,0.20180722891566266,1.5592505854800935,3.360213277260439,0.1826611796982167,0.7292442497261774,6.738644578313253,0.20180722891566266,0.48529156456068706,10210.753293413174
CAMP_021,Google Ads,1392.54,37482,3943,538,845,137,194,9378.83,Skin Care,44.9,24803,4.81,0.10519716130409264,0.13644433172711135,1.570631970260223,0.1621301775147929,1.416058394160584,1.6479763313609468,6.735052494003763,0.3531676388536647,2.588364312267658,68.45861313868613,1.416058394160584,0.49644756101209,2657.069710467706
CAMP_022,Meta Ads,761.08,13110,1695,978,1188,27,129,6563.57,Supplements,20.1,20870,0.76,0.12929061784897025,0.5769911504424778,1.2147239263803682,0.022727272727272728,4.777777777777778,0.6406397306397307,8.62402112787092,0.44901474926253687,0.7782004089979551,243.0951851851852,4.777777777777778,0.4806050745936874,789.1144278606965
CAMP_023,Google Ads,1136.12,18773,3504,600,430,744,154,5408.61,Fitness Gear,1.5,35578,2.28,0.18665104138922922,0.17123287671232876,0.7166666666666667,1.7302325581395348,0.20698924731182797,2.6421395348837207,4.760597472098018,0.32423515981735157,1.893533333333333,7.2696370967741935,0.20698924731182797,0.7783748615644551,54078.56
CAMP_024,Organic Search,1184.08,32266,3963,387,669,575,318,6742.56,Astrology Services,45.4,7588,0.98,0.12282278559474369,0.09765329295987887,1.7286821705426356,0.85949177877429,0.5530434782608695,1.7699252615844543,5.694344976690765,0.2987837496845824,3.0596382428940565,11.726191304347827,0.5530434782608695,0.7389959566268643,163.79383259911896
CAMP_025,Organic Search,532.74,22412,2053,921,1086,579,62,4638.89,Home Decor,5.5,39069,2.01,0.09160271283241121,0.4486117876278617,1.1791530944625408,0.5331491712707183,0.1070811744386874,0.4905524861878453,8.707605961632316,0.25949342425718464,0.5784364820846906,8.01189982728843,0.1070811744386874,0.5852065144702984,14277.943636363634
CAMP_026,Google Ads,1945.25,38270,4859,690,717,332,346,7435.37,Home Decor,16.6,27790,1.26,0.12696629213483146,0.1420045276805927,1.0391304347826087,0.4630404463040446,1.0421686746987953,2.7130404463040447,3.8223210384269373,0.4003395760444536,2.8192028985507247,22.395692771084338,1.0421686746987953,0.45958913293398,2109.3614457831322
CAMP_027,Google Ads,1595.24,11910,1491,522,489,695,309,953.3,Astrology Services,47.6,26289,3.41,0.1251889168765743,0.3501006036217304,0.9367816091954023,1.4212678936605316,0.4446043165467626,3.2622494887525564,0.5975903312354254,1.0699128101945004,3.056015325670498,1.3716546762589927,0.4446043165467626,0.7731387046777576,1883.3086134453781
CAMP_028,Google Ads,1891.1,30446,3781,200,984,635,184,5877.35,Supplements,47.6,29178,2.25,0.12418708533140642,0.052896059243586355,4.92,0.6453252032520326,0.28976377952755905,1.9218495934959348,3.1079001639257577,0.5001586881777307,9.455499999999999,9.255669291338583,0.28976377952755905,1.4616589928527877,1379.2121848739494
CAMP_029,Organic Search,1810.69,5206,3657,1488,499,297,174,2007.14,Home Decor,29.1,29710,1.53,0.7024587014982713,0.40689089417555374,0.3353494623655914,0.5951903807615231,0.5858585858585859,3.6286372745490985,1.1084945518006948,0.49512988788624557,1.2168615591397849,6.7580471380471385,0.5858585858585859,0.5046089436633974,1562.0721649484535
CAMP_030,Organic Search,1276.22,26518,1836,1371,1075,672,330,1641.56,Fitness Gear,32.0,16485,1.7,0.06923599064786183,0.7467320261437909,0.7840991976659373,0.6251162790697674,0.49107142857142855,1.1871813953488373,1.2862672579962702,0.6951089324618737,0.9308679795769511,2.442797619047619,0.49107142857142855,0.5840898878029346,875.765625
CAMP_031,Meta Ads,1859.37,27361,3896,312,779,648,275,3747.86,Supplements,23.0,45482,2.12,0.14239245641606665,0.08008213552361396,2.496794871794872,0.8318356867779204,0.4243827160493827,2.3868677792041075,2.0156612185847895,0.4772510266940451,5.959519230769231,5.783734567901234,0.4243827160493827,0.922248449146211,4192.253913043479
CAMP_032,Meta Ads,359.29,28419,3199,193,67,164,58,1372.09,Fitness Gear,15.4,21652,1.67,0.11256553714064535,0.060331353547983746,0.3471502590673575,2.4477611940298507,0.35365853658536583,5.362537313432836,3.8188928163878755,0.11231322288215068,1.8616062176165804,8.36640243902439,0.35365853658536583,0.8587118687909195,2347.976623376623
CAMP_033,Organic Search,552.77,46523,3352,395,259,499,495,1394.49,Skin Care,17.1,5748,2.54,0.07205038368118995,0.1178400954653938,0.6556962025316456,1.9266409266409266,0.9919839679358717,2.134247104247104,2.522730973099119,0.16490751789976132,1.3994177215189874,2.794569138276553,0.9919839679358717,0.7857864292277758,853.7964912280701
CAMP_034,Google Ads,281.41,27403,898,673,592,395,448,3458.43,Supplements,34.0,22233,0.65,0.0327701346567894,0.7494432071269488,0.8796433878157504,0.6672297297297297,1.1341772151898735,0.47535472972972975,12.289648555488432,0.31337416481069047,0.4181426448736999,8.755518987341771,1.1341772151898735,0.6139945945859515,425.04264705882355
CAMP_035,Google Ads,785.59,23141,2360,1066,467,794,105,9805.35,Home Decor,37.9,10435,1.76,0.10198349250248477,0.4516949152542373,0.43808630393996245,1.7002141327623126,0.13224181360201512,1.6822055674518201,12.481510711694396,0.3328771186440678,0.7369512195121951,12.349307304785894,0.13224181360201512,0.7529062431277407,484.580474934037
CAMP_036,Meta Ads,899.62,19820,4297,930,56,113,485,2165.64,Supplements,39.8,4709,2.35,0.21680121089808274,0.21643006748894578,0.060215053763440864,2.017857142857143,4.292035398230088,16.064642857142857,2.407283075076143,0.20936001861764023,0.9673333333333334,19.16495575221239,4.292035398230088,0.717878665349856,278.04396984924625
CAMP_037,Organic Search,688.43,45342,4937,51,255,402,268,663.03,Supplements,39.7,31355,3.21,0.1088835957831591,0.010330160016204173,5.0,1.576470588235294,0.6666666666666666,2.6997254901960783,0.963104455064422,0.1394429815677537,13.498627450980392,1.649328358208955,0.6666666666666666,1.7473004356312711,2535.253148614609
CAMP_038,Meta Ads,1691.73,11374,1054,946,827,255,57,7751.96,Supplements,5.5,14116,1.72,0.09266748725162652,0.8975332068311196,0.8742071881606766,0.3083434099153567,0.2235294117647059,2.045622732769045,4.582267855981747,1.6050569259962049,1.7882980972515856,30.3998431372549,0.2235294117647059,0.5539716191728814,4414.458181818181
CAMP_039,Meta Ads,842.16,6678,3674,1377,313,185,64,8165.67,Supplements,25.2,26470,1.1,0.5501647199760408,0.3747958628198149,0.22730573710965868,0.5910543130990416,0.34594594594594597,2.6906070287539934,9.69610287831291,0.22922155688622753,0.6115904139433551,44.138756756756756,0.34594594594594597,0.437874637907289,1155.4365079365082
CAMP_040,Instagram Influencer,705.68,38827,1907,303,908,48,496,3789.89,Fitness Gear,3.8,43344,0.84,0.049115306358977,0.1588883062401678,2.9966996699669965,0.05286343612334802,10.333333333333334,0.7771806167400881,5.370550391112119,0.37004719454640794,2.3289768976897687,78.95604166666666,10.333333333333334,0.8145790861605908,9581.305263157896
CAMP_041,Instagram Influencer,1176.85,21198,2977,502,989,486,112,4914.4,Skin Care,27.9,43918,4.73,0.14043777714878763,0.16862613369163587,1.9701195219123506,0.4914054600606673,0.23045267489711935,1.1899393326592518,4.175893274419,0.39531407457171647,2.3443227091633463,10.1119341563786,0.23045267489711935,0.7101956073489544,7445.596415770611
CAMP_042,Instagram Influencer,453.66,14914,1933,1110,482,691,9,6672.85,Astrology Services,22.6,40298,2.37,0.12960976263913102,0.5742369374030005,0.43423423423423424,1.433609958506224,0.013024602026049204,0.9412033195020747,14.708922981968875,0.23469218830832903,0.4087027027027027,9.656801736613604,0.013024602026049204,0.7081227329890021,4225.940707964602
CAMP_043,Google Ads,1643.95,32890,3710,1233,1049,768,107,956.56,Supplements,44.5,43956,3.12,0.11280024323502584,0.33234501347708895,0.8507704785077048,0.7321258341277407,0.13932291666666666,1.567159199237369,0.5818668450986951,0.4431132075471698,1.3332927818329279,1.2455208333333332,0.13932291666666666,0.5379766718815258,3081.8588764044944
CAMP_044,Organic Search,334.19,27299,402,1064,845,547,200,9516.88,Home Decor,18.2,15683,4.64,0.014725814132385802,2.646766169154229,0.7941729323308271,0.6473372781065089,0.3656307129798903,0.39549112426035504,28.47745294592896,0.831318407960199,0.31408834586466167,17.398318098720292,0.3656307129798903,1.0573811216296938,3998.3032967032964
CAMP_045,Organic Search,1976.4,48585,3455,58,688,417,266,8923.46,Supplements,6.7,1504,0.87,0.0711124832767315,0.01678726483357453,11.862068965517242,0.6061046511627907,0.6378896882494005,2.8726744186046513,4.515007083586318,0.5720405209840811,34.07586206896552,21.399184652278176,0.6378896882494005,3.1657679495918876,195.29552238805968
CAMP_046,Organic Search,1590.04,48689,4418,1306,576,534,369,2978.49,Home Decor,8.0,34982,4.44,0.09073918133459304,0.29560887279311904,0.44104134762633995,0.9270833333333334,0.6910112359550562,2.760486111111111,1.8732170259867675,0.35990040742417384,1.2174885145482388,5.577696629213483,0.6910112359550562,0.48043539137178337,19415.010000000002
CAMP_047,Organic Search,557.69,47557,4696,1172,1102,515,484,645.39,Fitness Gear,38.3,35299,2.98,0.09874466429757975,0.2495741056218058,0.9402730375426621,0.4673321234119782,0.9398058252427185,0.5060707803992741,1.1572558231275438,0.11875851788756389,0.47584470989761096,1.2531844660194174,0.9398058252427185,0.4574103556742264,2746.5018276762407
CAMP_048,Instagram Influencer,209.94,49020,966,865,46,45,376,9367.64,Home Decor,31.3,29016,1.24,0.0197062423500612,0.8954451345755694,0.05317919075144509,0.9782608695652174,8.355555555555556,4.56391304347826,44.62055825473945,0.21732919254658384,0.2427052023121387,208.16977777777777,8.355555555555556,0.534575590671331,1149.5156549520766
CAMP_049,Google Ads,1667.83,7693,4589,257,187,694,354,5259.88,Astrology Services,6.0,24960,2.35,0.5965163135317821,0.05600348659838745,0.7276264591439688,3.7112299465240643,0.5100864553314121,8.918877005347593,3.1537266987642627,0.363440836783613,6.489610894941634,7.579077809798271,0.5100864553314121,1.4285797330991648,9776.0
CAMP_050,Google Ads,1472.34,34467,2527,1204,506,29,51,5624.09,Skin Care,5.1,34591,4.0,0.07331650564307889,0.47645429362880887,0.420265780730897,0.05731225296442688,1.7586206896551724,2.9097628458498024,3.8198310172922016,0.5826434507320933,1.2228737541528238,193.93413793103448,1.7586206896551724,0.2560369956078703,27130.196078431374
